Combined
DN Debatt Repliker. ”Ska vården ägna tid åt levnadsråd måste något annat bort” - DN DEBATT SLUTREPLIK. Tio allmänläkare: Kritiker är inte ”osakliga” bara för att de anmäler avvikande mening och tar upp obekväma sakfrågor.
"Skandia höjer bundna boräntor - Skandia höjer räntorna på bolån med bindningstider på 2–5 år med 0,10-0,15 procentenheter, skriver pensionsbolagets bank."
Marianne Björklund: Presidenten är gripen – men Sydkoreas kris långt ifrån över - PEKING. För första gången någonsin har en sittande president i Sydkorea gripits. Det betyder inte att landets politiska kris är över. Befolkningen är djupt polariserad och anhängare till den brottsmisstänkte presidenten Yoon Suk Yeol vädrar morgonluft när Trump tillträder.
Stjärnfall öppnar för mästarinnan i Melbourne - Regerande mästarinnan Aryna Sabalenkas väg mot en tredje raka Australian Open-seger blir allt rakare. Hon är nu klar för tredje omgången samtidigt som en av de värsta konkurrenterna är utslagen.
Florida vann tät match – svensken målskytt - Nattens NHL-möte mellan New Jersey och Florida blev en målsnål tillställning. Först i den tredje perioden kunde svenske Jesper Boqvist spräcka nollan i en match som hans Florida till slut vann – på straffar.
"Sanna: Säg ”pandemi” och jag vänder bort mitt ansikte - Nästan fem år har gått sedan pandemin bröt ut. Men vi pratar om något annat, va? föreslår Sanna. La-la-la-la. Pandemitanken orkar vi icke tänka."
"Lägre energipriser trycker ned inflationen - Inflationen enligt KPIF-måttet sjönk till 1,5 procent i december, ned från 1,8 procent i november, enligt Statistikmyndigheten (SCB)."
"Så påverkas vi av olika typer av beröring - Två typer av nervceller i huden har stor betydelse för hur vi uppfattar olika typer av beröring. Det visar en ny studie från Linköpings universitet. – Människor använder sig framför allt av sex olika strategier för att påverka andras känslor med sin beröring, säger forskaren Sarah McIntyre."
"Mattias dömdes till fängelse – är ”som en tioåring” mentalt - Transsexuelle Mattias, 28, dömdes för att ha tänt på en duk i sitt LSS-boende. Intellektuellt är han som ett mellanstadiebarn – nu väntar ett tvåårigt fängelsestraff. – Jag har bytt kön och är så rädd för att bli våldtagen i fängelset, säger han."
"SR lanserar ny modepodd - Susanne Ljung och Samanda Ekman leder Sveriges Radios nya modesatsning ”Samtal med Stil”. – Många faktafyllda svar utlovas, säger Susanne Ljung i ett pressmeddelande."
Har du koll på pingviner? - Testa dina kunskaper om naturen vid polerna.
"Andreas Johansson Heinö: Le Pen var den gamla skolans rasist – och kan nu vila lugnt i sin grav - Jean-Marie Le Pen kallade Förintelsen för ”en detalj i historien”, ville återinföra giljotinen och tillhörde en äldre generation högerextremister. Han brydde sig aldrig om att sminka över sina åsikter för att locka fler. KOLUMNEN. Andreas Johansson Heinö är doktor i statsvetenskap, förläggare vid Timbro förlag och fristående kolumnist i Dagens Nyheter."
"Unika företaget – alla har samma lön och ingen chef - UMEÅ. Alla har samma lön och bestämmer själva över arbetstid och semester. På företaget iTid finns heller ingen chef. – Inga semesterscheman eller lönesamtal. Alla får samma lönebesked, säger Moa Hägglund Hedestig, konsult och kontorsansvarig."
Pinsam dans i skuggan av kriget - Om det varken är krig eller fred i Sverige – vad är det då? Hur kommer Nato påverkas av Donald Trump? Och så har Ulf Kristerssons krigsuttalande under försvarskonferensen i Sälen väckt kritik från oväntat håll.
"Norska Karen tidernas yngsta att nå Sydpolen ensam på skidor - Karen Kyllesø, 21, var framme i Sydpolen strax före midnatt i måndagskväll. När nyheten nådde Norge jublade statsministern. Hon är tidernas yngsta att nå Sydpolen ensam på skidor i en lång norsk tradition av polarexpeditioner."
"Nottingham Forests nya succé – kryssade mot Liverpool - Nottingham Forest fortsätter att göra succé i Premier League. Sensationslaget fick med sig 1–1 mot serieledande Liverpool, och klättrar upp på andra plats i tabellen. Anthony Elanga gjorde poäng för sjätte PL-matchen i rad."
"Drömstart för Graham Potter i Premier League - Svenskbekantingen Graham Potter har ett nytt jobb i Premier League, som tränare för West Ham. Och i hemmapremiären blev det succé direkt. West Ham besegrade Londonrivalen Fulham med 3–2."
Förbundet startar utredning: Cibicki riskerar ny avstängning - Matchfixningsdömde fotbollsspelaren Pawel Cibicki riskerar ny avstängning. Detta sedan han tränat med IFK Värnamo innan avstängningstiden gått ut. Även den allsvenska klubben kan bestraffas.
Polisen gör nytt försök att gripa Sydkoreas president - Sydkoreansk polis gör ett nytt försök att gripa landets avstängde president Yoon Suk-Yeol som uppehåller sig i sitt residens. Polisen har drabbat samman med personer vid entrén.
Dansk jättekross i VM-premiären på hemmaplan - Den trefaldigt regerande mästaren Danmark har äntrat hemma-VM i handboll på bästa möjliga sätt. I premiären krossades Algeriet med hela 47–22.
"Experter: Dominans kan stoppa Musk från att köpa Tiktok - Trumps parhäst, techmiljardären Elon Musk, uppges ha siktet inställt på Tiktok. Men dominansen kan bli för stor, spår experter. – Det som talar för är det här pågående storhetsvansinnet hos Musk som gör att mycket av det han bestämmer sig för blir möjligt, säger mediestrategen Brit Stakston."
Simon Campanello: Techjättarna visar sina rätta ansikten - Techjättarna visar sina rätta ansikten. När Donald Trump tar makten passar Amazon och Meta på att ta rygg på Elon Musk.
"Anna-Lena Laurén: Årets icke-ord är ”biotysk” - BERLIN. I Tyskland är det populärt att köpa bioägg och äta biogrönsaker, det vill säga ekologiskt producerad mat. Men vad är en biotysk? Årets icke-ord, enligt tyska språkvetare."
Niklas Ekdal: Truman hade sparkat Trump - För snart 80 år sedan klev Harry Truman in i Vita huset. Han och Donald Trump är två motpoler som världsledare och människor. President nummer 47 hotar att rulla tillbaka allt som nummer 33 åstadkom. Niklas Ekdal berättar historien om mannen som formade efterkrigstidens liberala politik – och har atombomben på sitt samvete.
Myndigheter varnar för kraftiga vindar: ”Var redo evakuera” - Brandmännen i Los Angeles bekämpar fortsatt de två största bränderna som härjar i områdena runt Pacific Palisades och Easton. Nu varnar myndigheterna för kraftiga vindar som riskerar att åter förvärra situationen.
Färjestad på väg mot första Champions League-finalen - Färjestad står med ena benet i sin första CHL-final. Det blev storseger med 6–2 borta över Sparta Prag i första semifinalen sedan Oskar Steen gjort två av målen.
