"Produkttitel","Antal bestilt","Antal returneret","Frekvensen for returneret antal"
"Shu Uemura Gentle Radiance Deep Cleanser Shampoo 400 ml - Shampoo",1,0,0
"Maria Nila True Soft Booster Masque 50 ml - Hårkur",1,0,0
"Kérastase Densifique Density Cure Femme Treatment 30x 6ml - Hårkur",1,0,0
"Maria Nila Extreme Spray 400 ml - Hårlak",1,0,0
"KMS ColorVitality Shampoo 300 ml - Shampoo",1,0,0
"Redken Thickening Retaliate Stemoxydine 90 ml - hårserum",1,0,0
"Nioxin Anti-Hairloss Serum 70 ml - Hårserum",1,0,0
"L’Oréal Pro Serie Expert Absolut Repair Molecular Shampoo 300 ml",1,0,0
"KMS Conscious Style Multi-Benefit Spray 200 ml - Stylingspray",1,0,0
"BaByliss Pro Titanium Air Styler 19 mm 700 watt - varmluftsbørste",1,0,0
"KMS ColorVitality Blonde Shampoo 300 ml - Shampoo",1,0,0
"Maria Nila Curlicue Cream 100 ml - Krøllecreme",1,0,0
"L’Oréal Pro Serie Expert Absolut Repair Molecular Shampoo 500 ml",1,0,0
"Shu Uemura Color Lustre Brilliant Glaze Treatment 200 ml - Hårkur",1,0,0
"weDo Professional Rich & Repair Conditioner 75 ml - Balsam",1,0,0
"KMS Conscious Style Everyday Shampoo 330 ml - Shampoo",1,0,0
"Oway Glossy Nectar 50 ml - Hårolie",1,0,0
"Maria Nila Ocean Spray 150 ml - Saltvandsspray",1,0,0
"ghd Ceramic Vented Radial Brush str. 2 - Rundbørste",1,0,0
"ghd helios - professionel føntørrer, sort",1,0,0
"Maria Nila Shimmer Spray 300 ml - Hårlak",1,0,0
"Balmain Hair Couture Argan Moisturizing Elixir 100 ml - Hårolie",1,0,0
"weDo Professional Light & Soft Conditioner 250 ml - Balsam",1,0,0
"Oway Glamshine Cloud 100 ml - Hårolie",1,0,0
"Redken Color Extend Graydiant Conditioner 250 ml - Balsam",1,0,0
"ghd Mini Paddle-børste - Hårbørste",1,0,0
"Redken Styling Volume Boost 250 ml",1,0,0
"Oway Rebuilding Hair Bath 240 ml - Shampoo",1,0,0
"KMS ColorVitality Conditioner 250 ml - Balsam",1,0,0
"Maria Nila Styling Cream 100 ml - Hårvoks",1,0,0
"Balmain Hair Couture Texturizing Volume Spray 200 ml",1,0,0
"Balmain Hair Couture Couleurs Couture Conditioner 300 ml",1,0,0
"Redken Styling Pliable Paste - Hårvoks",1,-1,1
"Oway Frequent Use Conditioner 50 ml - Balsam",1,0,0
"Oway Silk’n Glow Hair Bath 240 ml - Shampoo",1,0,0
"Maria Nila Texture Spray 250 ml",1,0,0
"Oway Sculpting Mist 240 ml - Hårlak",1,0,0
"Oway Curly Hair bath 50 ml - Hårkur",1,0,0
"Maria Nila Coils & Curls Finishing Treatment 250 ml",1,0,0
"L’Oréal Pro Serie Expert Absolut Repair Molecular Rinse-off Serum 250ml",1,0,0
"Maria Nila Schist Wax 50 ml - Hårvoks",1,-1,1
"Redken Acidic Color Gloss Activated Glass Gloss Treatment",1,0,0
"Maria Nila Cream Heat Spray 75 ml - Varmebeskyttelse",1,0,0
"Maria Nila Finishing Spray 100 ml - Hårlak",1,0,0
"Nioxin Trial Kit System 6 - Chemically Treated Hair",1,0,0
"Maria Nila Colour Refresh Black 100 ml - Farvende hårkur",1,0,0
"Maria Nila Colour Refresh Vivid Violet 100 ml - Farvende hårkur",1,0,0
"ghd Natural Bristle Radial Brush Size 3 - Rundbørste",1,0,0
"Maria Nila Coils & Curls Co-Wash  100 ml",1,0,0
"Redken Frizz Dismiss Instant Deflate Treatment 125 ml - Hårserum",1,0,0
"Kérastase Elixir Ultime L'Huile Rose Oil 100 ml - Hårolie",1,0,0
"L'Oréal Pro Serie Expert Vitamino Color Conditioner 200 ml - Balsam",1,0,0
"Redken Styling Quick Dry Hairspray 400 ml - Hårlak",1,0,0
"Maria Nila Colour Refresh Autumn Red 100 ml - Farvende hårkur",1,0,0
"weDo Professional Rich & Repair Mask 150 ml - Hårkur",1,0,0
"L'Oréal Pro Tecni.Art Morning After Dust 200 ml - Tørshampoo",1,0,0
"Maria Nila Colour Refresh Dusty Pink 300 ml - Farvende hårkur",1,0,0
"Redken Hair Cleansing Cream Shampoo 250 ml - Shampoo",1,0,0
"L'Oréal Pro Serie Expert Absolut Repair Conditioner 200 ml - Balsam",1,0,0
"Maria Nila Extreme Spray 100 ml - Hårlak",1,0,0
"L'Oréal Pro Serie Expert Vitamino Color Shampoo 300 ml",1,0,0
"Kérastase Nutritive Bain Riche Refill 500 ml - Shampoo",1,0,0
"Maria Nila Colour Refresh Lavender 300 ml - Farvende hårkur",1,0,0
"Redken Styling Dry Shampoo Powder 02 - 60 gr. - Tørshampoo",1,0,0
"Oway Smoothing Fluid 100 ml - Hårolie",1,0,0
"Nioxin System 4 Loyalty Kit System 700 ml - Colored/Dry/Damaged Hair",1,-1,1
"Redken Styling Matte Clay 75 ml - Hårvoks",1,0,0
"Maria Nila Colour Refresh Bright Copper 300 ml - Farvende hårkur",1,0,0
"Redken All Soft Mega Curl Hydramelt Nourishing Leave-In Treatment 150 ml",1,0,0
"Balmain Hair Couture Matt Clay Strong 100 ml - Hårvoks",1,0,0
"Kérastase Bain Chroma Respect Shampoo Refill Kit",1,0,0
"Balmain Hair Couture Thermal Protection Spray 200 ml",1,0,0
"Oway Silk’n Glow Hair Mask 150 ml - Hårkur",1,-1,1
"Kérastase Densifique Cure Femme",1,0,0
"ghd helios - professionel føntørrer, hvid",1,0,0
"ghd Ceramic Vented Radial Brush str. 1 - Hårbørste",1,0,0
"L’Oréal Pro Serie Expert Vitamino Color Masque 250 ml - Hårkur",1,-1,1
"KMS Moist Repair Hydrating Oil 100 ml - Hårolie",1,0,0
"L'Oréal Pro Tecni.Art Trans Texture Gel-Foam 150 ml - Hårskum",1,-1,1
"Shu Uemura Yubi Blonde Glow Revealing Shampoo 300 ml - Shampoo",1,0,0
"weDo Professional Rich & Repair Conditioner 250 ml - Balsam",1,0,0
"Oway Glimmering bond 100 ml",1,0,0
"Maria Nila Coils & Curls Weightless Curl Gel 125 ml - Krøllecreme",1,0,0
"Oway Frozen Glaze 150 ml - Hårvoks",1,0,0
"L’Oréal Pro Serie Expert Metal DX Shampoo 500 ml",1,0,0
"Maria Nila True Soft Conditioner 1000 ml - Conditioner",1,0,0
"BaByliss Airstyler Shape & Smooth 800 W - Varmluftsbørste",1,0,0
"Maria Nila Sheer Silver Masque 250 ml - Hårkur",1,0,0
"Oway Smoothing Cream 150 ml - Stylingcreme",1,0,0
"L’Oréal Pro Serie Expert Metal DX Shampoo 300 ml",1,0,0
"Maria Nila Colour Refresh Pearl Silver 300 ml - Farvende hårkur",1,0,0
"Kérastase Symbiose Micro-Peeling Cellulaire 200 ml",1,0,0
"Maria Nila Coils & Curls Co-Wash  350 ml",1,0,0
"Maria Nila Colour Refresh Autumn Red 300 ml - Farvende hårkur",1,0,0
"Kérastase Blond Absolu 2% Pure Hyaluronic Acid Serum 50 ml",1,0,0
"Maria Nila Colour Refresh Black 300 ml - Farvende hårkur",1,0,0
"KMS ColorVitality Blonde Conditioner 250 ml - Balsam",1,0,0
"Maria Nila Colour Refresh White Mix 300 ml - Farvende hårkur",1,0,0
"Maria Nila Colour Refresh Sand 100 ml - Farvende hårkur",1,0,0
"Oway Color Protection Hair Mask 50 ml - Hårkur - Udgået",1,-1,1
"L'Oréal Pro Serie Expert Silver Shampoo 300 ml - Silver shampoo",1,0,0
"Maria Nila Colour Refresh Dusty Pink 100 ml - Farvende hårkur",1,0,0
"BaByliss Glattejern Bronze Shimmer 235 - Glattejern",1,-1,1
"Oway Sebum Balance Hair Bath 240 ml - Shampoo",1,0,0
"KMS Add Power Thickening Spray 200 ml - Varmebeskyttelse",1,0,0
"weDo Professional Moisture & Shine Natural Oil 100 ml - Hårolie",1,0,0
"BaByliss Air Wand",1,0,0
"Shu Uemura Cleansing Oil Gentle Radiance Cleanser 400 ml - UDGÅET",0,-1,
